timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624669716802,2084,HTTP Request/ Music,200,,Spike test 1-2211,text,true,,7277,116,2066,2066,http://localhost:8082/,2084,0,2
1624669716802,2084,HTTP Request/ Music,200,,Spike test 1-1465,text,true,,7277,116,2066,2066,http://localhost:8082/,2084,0,1
1624669716800,2085,HTTP Request/ Music,200,,Spike test 1-293,text,true,,7277,116,2066,2066,http://localhost:8082/,2085,0,1
1624669716796,2089,HTTP Request/ Music,200,,Spike test 1-1469,text,true,,7277,116,2066,2066,http://localhost:8082/,2089,0,2
1624669716794,2091,HTTP Request/ Music,200,,Spike test 1-1470,text,true,,7277,116,2066,2066,http://localhost:8082/,2091,0,1
1624669716790,2095,HTTP Request/ Music,200,,Spike test 1-2217,text,true,,7277,116,2066,2066,http://localhost:8082/,2095,0,2
1624669716787,2098,HTTP Request/ Music,200,,Spike test 1-1483,text,true,,7277,116,2066,2066,http://localhost:8082/,2098,0,2
1624669716785,2100,HTTP Request/ Music,200,,Spike test 1-1484,text,true,,7277,116,2066,2066,http://localhost:8082/,2100,0,2
1624669716781,2103,HTTP Request/ Music,200,,Spike test 1-289,text,true,,7277,116,2066,2066,http://localhost:8082/,2103,0,2
1624669716776,2108,HTTP Request/ Music,200,,Spike test 1-2223,text,true,,7277,116,2066,2066,http://localhost:8082/,2108,0,1
1624669716778,2106,HTTP Request/ Music,200,,Spike test 1-1487,text,true,,7277,116,2066,2066,http://localhost:8082/,2106,0,2
1624669716773,2111,HTTP Request/ Music,200,,Spike test 1-1051,text,true,,7277,116,2066,2066,http://localhost:8082/,2111,0,1
1624669716770,2114,HTTP Request/ Music,200,,Spike test 1-797,text,true,,7277,116,2066,2066,http://localhost:8082/,2114,0,2
1624669716765,2119,HTTP Request/ Music,200,,Spike test 1-826,text,true,,7277,116,2066,2066,http://localhost:8082/,2119,0,2
1624669716759,2124,HTTP Request/ Music,200,,Spike test 1-831,text,true,,7277,116,2066,2066,http://localhost:8082/,2124,0,5
1624669716760,2123,HTTP Request/ Music,200,,Spike test 1-290,text,true,,7277,116,2066,2066,http://localhost:8082/,2123,0,2
1624669716757,2126,HTTP Request/ Music,200,,Spike test 1-843,text,true,,7277,116,2066,2066,http://localhost:8082/,2126,0,1
1624669716754,2129,HTTP Request/ Music,200,,Spike test 1-869,text,true,,7277,116,2066,2066,http://localhost:8082/,2129,0,2
